member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,verification_status_joint,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
58189336,14350,14350,14350,36 months, ,19.19,E,E3,clerk,9 years,OWN,28700,Source Verified,n,,debt_consolidation,Debt consolidation,349xx,FL,33.88,0,1,50,75,14,1,22515,73.1,28,f,1173.84,0,0,0,0,74,INDIVIDUAL,,26th week,0,0,28699,30800,0
70011223,4800,4800,4800,36 months,BAT1586599,10.99,B,B4,Human Resources Specialist,< 1 year,MORTGAGE,65000,Source Verified,n,,home_improvement,Home improvement,209xx,MD,3.64,0,1,,,6,0,7624,23.2,13,w,83.95,0,0,0,0,,INDIVIDUAL,,9th week,0,0,9974,32900,0
70255675,10000,10000,10000,36 months,BAT1586599,7.26,A,A4,Driver,2 years,OWN,45000,Not Verified,n,,debt_consolidation,Debt consolidation,447xx,OH,18.42,0,0,,,5,0,10877,31.2,19,w,56.47,0,0,0,0,,INDIVIDUAL,,9th week,0,65,38295,34900,0
1893936,15000,15000,15000,36 months,BAT4808022,19.72,D,D5,Us office of Personnel Management,10+ years,RENT,105000,Not Verified,n,> My goal is to obtain a loan to pay off my high credit cards and get out of debt within 3 years.<br>,debt_consolidation,Debt consolidation,221xx,VA,14.97,0,2,46,,10,0,13712,55.5,21,f,4858.62,0,0,0,0,,INDIVIDUAL,,135th week,0,0,55564,24700,0
7652106,16000,16000,16000,36 months,BAT2833642,10.64,B,B2,LAUSD-HOLLYWOOD HIGH SCHOOL,10+ years,RENT,52000,Verified,n,,credit_card,refi,900xx,CA,20.16,0,0,,,11,0,35835,76.2,27,w,2296.41,0,0,0,0,,INDIVIDUAL,,96th week,0,0,47159,47033,0
10247268,15000,15000,14950,36 months,BAT2575549,8.9,A,A5,Design Consultant,2 years,MORTGAGE,120000,Not Verified,n,"   > We are requesting this loan to help re-organize our finances after having a tumultuous year that resulted in unexpected medical bills.  I have been in the same line of work for over five years and have been at my current company, which is very stable in the marketplace, for two and a half years.<br>",debt_consolidation,Credit Card Debt Consolidation,461xx,IN,12.3,0,0,56,,18,0,19040,64.5,30,f,1957.24,0,0,0,0,,INDIVIDUAL,,113th week,0,0,350619,29500,0
8089625,5000,5000,4975,36 months, ,7.9,A,A4,TOYOTA OF NORTH HOLLYWOOD,5 years,RENT,75000,Source Verified,n,> Funds will be used to pay off a debt. I am also a lender as well here on LC.<br>,debt_consolidation,PAY THEM OFF,913xx,CA,5.7,0,0,,105,13,2,13272,23.9,23,f,578.36,0,0,0,0,,INDIVIDUAL,,117th week,0,1023,13272,55500,1
23043116,6000,6000,6000,36 months,,9.17,B,B1,Banker,8 years,MORTGAGE,54000,Not Verified,n,,credit_card,Credit card refinancing,351xx,AL,11.63,0,1,46,,13,0,3484,29.5,49,f,637.51,0,0,0,0,54,INDIVIDUAL,,78th week,0,0,272579,11800,0
45900933,6000,6000,6000,36 months,BAT4136152,13.99,C,C4,LVN,7 years,MORTGAGE,92000,Not Verified,n,,home_improvement,Home improvement,917xx,CA,30.85,0,0,77,,16,0,47567,76.6,27,w,621.72,0,0,0,0,,INDIVIDUAL,,44th week,0,0,281521,62100,0
41272507,34550,34550,34550,60 months,BAT4694572,17.14,D,D4,Registered Nurse,2 years,MORTGAGE,72000,Verified,n,,debt_consolidation,Debt consolidation,427xx,KY,33.92,0,0,,,12,0,30040,90.5,30,w,5535.46,0,0,0,0,,INDIVIDUAL,,52th week,0,0,76034,33200,0
56621560,25000,25000,24975,36 months, ,13.33,C,C3,VP of Operations,10+ years,OWN,135000,Source Verified,n,,credit_card,Credit card refinancing,875xx,NM,14.2,0,1,52,,15,0,23893,50.8,32,f,1551.58,0,0,0,0,52,INDIVIDUAL,,26th week,0,0,72193,47000,0
4221941,15000,15000,15000,36 months, ,18.49,D,D2,Jp Morgan chase bank,4 years,RENT,76000,Verified,n,,debt_consolidation,Loan to payoff credit card debt,926xx,CA,15.86,0,1,82,,15,0,14085,71.9,30,f,3726.32,0,0,0,0,82,INDIVIDUAL,,95th week,0,0,39152,19600,1
43387539,18000,18000,18000,36 months,BAT5924421,6.99,A,A3,driver,7 years,MORTGAGE,62000,Not Verified,n,,credit_card,Credit card refinancing,381xx,TN,18.58,0,2,,,15,0,47795,34.2,31,f,992.37,0,0,0,0,,INDIVIDUAL,,48th week,0,0,194011,139900,0
23001903,9000,9000,9000,36 months,BAT3193689,6.03,A,A1,Federal Law Enforcement,10+ years,MORTGAGE,145000,Not Verified,n,,credit_card,Credit card refinancing,773xx,TX,15.42,0,0,,,19,0,11685,27.2,39,f,633.42,0,0,0,0,,INDIVIDUAL,,78th week,0,0,165164,43000,0
13670372,8800,8800,8800,36 months,BAT224923,13.65,C,C1,Truck Driver,10+ years,RENT,80000,Not Verified,n,> Debt Consolidation<br>,debt_consolidation,Debt consolidation,917xx,CA,13.98,0,1,,,12,0,17060,41.4,17,w,1521.5,0,0,0,0,,INDIVIDUAL,,82th week,0,0,39634,41200,1
49874851,8000,8000,8000,36 months,BAT1184694,15.61,D,D1,ASSISTANT QAPI COORDINATOR,4 years,RENT,50000,Source Verified,n,,debt_consolidation,Debt consolidation,922xx,CA,27.39,0,2,,,14,0,6544,35.4,24,f,801.55,0,0,0,0,,INDIVIDUAL,,35th week,0,0,48488,18500,0
9878144,18450,18450,18450,60 months,BAT1930365,21.7,E,E2,LS1,9 years,RENT,69000,Source Verified,n,,debt_consolidation,Debt Consolidation,919xx,CA,24.28,0,0,72,,13,0,15297,96.2,35,f,6269.2,0,0,0,0,72,INDIVIDUAL,,96th week,0,0,71191,15900,0
